,region,price,time,service,hist_price
26,TAS1,0.14999999850988388,2019/01/08 17:00:00,lower_5min,0.15
27,TAS1,0.04999999888241291,2019/01/08 17:00:00,lower_60s,0.05
28,TAS1,-1.862645149230957e-09,2019/01/08 17:00:00,lower_6s,0.0
29,TAS1,5.799999997019768,2019/01/08 17:00:00,lower_reg,5.95
30,TAS1,8.949999997392297,2019/01/08 17:00:00,raise_5min,8.95
31,TAS1,4.949999997392297,2019/01/08 17:00:00,raise_60s,4.95
32,TAS1,1.449999999254942,2019/01/08 17:00:00,raise_6s,1.45
33,TAS1,8.949999997392297,2019/01/08 17:00:00,raise_reg,8.95
34,VIC1,0.14999999850988388,2019/01/08 17:00:00,lower_5min,0.15
35,VIC1,0.04999999888241291,2019/01/08 17:00:00,lower_60s,0.05
36,VIC1,15.79004093259573,2019/01/08 17:00:00,lower_reg,19.151989999999998
37,VIC1,8.72999999858439,2019/01/08 17:00:00,raise_5min,8.73
38,VIC1,9.369999999180436,2019/01/08 17:00:00,raise_60s,9.37
39,VIC1,2.7799999993294477,2019/01/08 17:00:00,raise_6s,2.78
40,VIC1,10.259999999776483,2019/01/08 17:00:00,raise_reg,18.73
0,NSW1,87.63868758641183,2019/01/30 04:30:00,energy,91.85999
1,QLD1,79.66936565935612,2019/01/30 04:30:00,energy,83.5
2,SA1,148.12999999895692,2019/01/30 04:30:00,energy,109.27018999999999
3,TAS1,151.35680959746242,2019/01/30 04:30:00,energy,111.73853999999999
4,VIC1,156.79221991077065,2019/01/30 04:30:00,energy,115.66
5,NSW1,0.42389150336384773,2019/01/30 04:30:00,lower_5min,0.45
6,NSW1,0.07000000029802322,2019/01/30 04:30:00,lower_60s,0.07
7,NSW1,0.030000001192092896,2019/01/30 04:30:00,lower_6s,0.03
8,NSW1,7.660000000149012,2019/01/30 04:30:00,lower_reg,14.0
9,NSW1,8.0,2019/01/30 04:30:00,raise_5min,8.0
10,NSW1,2.949999999254942,2019/01/30 04:30:00,raise_60s,2.95
11,NSW1,4.600000001490116,2019/01/30 04:30:00,raise_6s,4.6
12,NSW1,8.0,2019/01/30 04:30:00,raise_reg,8.95
13,QLD1,0.42389150336384773,2019/01/30 04:30:00,lower_5min,0.45
14,QLD1,0.07000000029802322,2019/01/30 04:30:00,lower_60s,0.07
15,QLD1,0.030000001192092896,2019/01/30 04:30:00,lower_6s,0.03
16,QLD1,7.660000000149012,2019/01/30 04:30:00,lower_reg,14.0
17,QLD1,8.0,2019/01/30 04:30:00,raise_5min,8.0
18,QLD1,2.949999999254942,2019/01/30 04:30:00,raise_60s,2.95
19,QLD1,4.600000001490116,2019/01/30 04:30:00,raise_6s,4.6
20,QLD1,8.0,2019/01/30 04:30:00,raise_reg,8.95
21,SA1,0.42389150336384773,2019/01/30 04:30:00,lower_5min,0.45
22,SA1,0.07000000029802322,2019/01/30 04:30:00,lower_60s,0.07
23,SA1,0.030000001192092896,2019/01/30 04:30:00,lower_6s,0.03
24,SA1,7.660000000149012,2019/01/30 04:30:00,lower_reg,14.0
25,SA1,8.0,2019/01/30 04:30:00,raise_5min,8.0
26,SA1,2.949999999254942,2019/01/30 04:30:00,raise_60s,2.95
27,SA1,4.600000001490116,2019/01/30 04:30:00,raise_6s,4.6
28,SA1,8.0,2019/01/30 04:30:00,raise_reg,8.95
29,TAS1,0.05999999865889549,2019/01/30 04:30:00,lower_5min,0.06
30,TAS1,1.862645149230957e-09,2019/01/30 04:30:00,lower_60s,0.07
31,TAS1,1.862645149230957e-09,2019/01/30 04:30:00,lower_6s,0.03
32,TAS1,5.8900000005960464,2019/01/30 04:30:00,lower_reg,5.95
33,TAS1,8.0,2019/01/30 04:30:00,raise_5min,8.0
34,TAS1,2.949999999254942,2019/01/30 04:30:00,raise_60s,2.95
35,TAS1,4.600000001490116,2019/01/30 04:30:00,raise_6s,4.6
36,TAS1,8.0,2019/01/30 04:30:00,raise_reg,8.95
37,VIC1,0.42389150336384773,2019/01/30 04:30:00,lower_5min,0.45
38,VIC1,0.07000000029802322,2019/01/30 04:30:00,lower_60s,0.07
39,VIC1,0.030000001192092896,2019/01/30 04:30:00,lower_6s,0.03
40,VIC1,7.660000000149012,2019/01/30 04:30:00,lower_reg,14.0
41,VIC1,8.0,2019/01/30 04:30:00,raise_5min,8.0
42,VIC1,2.949999999254942,2019/01/30 04:30:00,raise_60s,2.95
43,VIC1,4.600000001490116,2019/01/30 04:30:00,raise_6s,4.6
44,VIC1,8.0,2019/01/30 04:30:00,raise_reg,8.95
0,NSW1,93.39000000059605,2019/01/27 13:45:00,energy,94.8
1,QLD1,78.79560684785247,2019/01/27 13:45:00,energy,81.10508
2,SA1,8.44934207201004,2019/01/27 13:45:00,energy,8.622530000000001
3,TAS1,8.793521052226424,2019/01/27 13:45:00,energy,137.21
4,VIC1,8.769999999552965,2019/01/27 13:45:00,energy,8.949760000000001
5,NSW1,0.44999999925494194,2019/01/27 13:45:00,lower_5min,0.45
6,NSW1,0.10999999940395355,2019/01/27 13:45:00,lower_60s,0.11
7,NSW1,0.03999999910593033,2019/01/27 13:45:00,lower_6s,0.04
