,region,price,time,SETTLEMENTDATE,REGIONID,RRP
4,VIC1,42.14853799343109,2020/01/02 01:35:00,2020/01/02 01:35:00,VIC1,40.99432
0,NSW1,38.734650641679764,2020/01/02 01:40:00,2020/01/02 01:40:00,NSW1,38.4
1,QLD1,40.33000000193715,2020/01/02 01:40:00,2020/01/02 01:40:00,QLD1,41.30148
2,SA1,44.55473180487752,2020/01/02 01:40:00,2020/01/02 01:40:00,SA1,41.99954
3,TAS1,47.15659175813198,2020/01/02 01:40:00,2020/01/02 01:40:00,TAS1,70.46
4,VIC1,41.925857635214925,2020/01/02 01:40:00,2020/01/02 01:40:00,VIC1,40.644729999999996
0,NSW1,38.49913169629872,2020/01/02 01:45:00,2020/01/02 01:45:00,NSW1,38.97145
1,QLD1,40.330000000074506,2020/01/02 01:45:00,2020/01/02 01:45:00,QLD1,42.5
2,SA1,43.745798820629716,2020/01/02 01:45:00,2020/01/02 01:45:00,SA1,42.086209999999994
3,TAS1,63.805023992434144,2020/01/02 01:45:00,2020/01/02 01:45:00,TAS1,70.46
4,VIC1,41.35610552690923,2020/01/02 01:45:00,2020/01/02 01:45:00,VIC1,40.9034
0,NSW1,38.20169270038605,2020/01/02 01:50:00,2020/01/02 01:50:00,NSW1,38.4
1,QLD1,40.330000000074506,2020/01/02 01:50:00,2020/01/02 01:50:00,QLD1,41.28389
2,SA1,42.759419394657016,2020/01/02 01:50:00,2020/01/02 01:50:00,SA1,40.69648
3,TAS1,45.7471328265965,2020/01/02 01:50:00,2020/01/02 01:50:00,TAS1,70.46
4,VIC1,40.79635661095381,2020/01/02 01:50:00,2020/01/02 01:50:00,VIC1,39.896679999999996
0,NSW1,38.20342040620744,2020/01/02 01:55:00,2020/01/02 01:55:00,NSW1,38.429790000000004
1,QLD1,40.330000000074506,2020/01/02 01:55:00,2020/01/02 01:55:00,QLD1,41.31776
2,SA1,42.234300926327705,2020/01/02 01:55:00,2020/01/02 01:55:00,SA1,40.221990000000005
3,TAS1,45.39211311750114,2020/01/02 01:55:00,2020/01/02 01:55:00,TAS1,70.46
4,VIC1,40.479757303372025,2020/01/02 01:55:00,2020/01/02 01:55:00,VIC1,39.60304
0,NSW1,38.45975733175874,2020/01/02 02:00:00,2020/01/02 02:00:00,NSW1,40.40611
1,QLD1,40.330000000074506,2020/01/02 02:00:00,2020/01/02 02:00:00,QLD1,43.72991
2,SA1,42.7349594514817,2020/01/02 02:00:00,2020/01/02 02:00:00,SA1,42.79359
3,TAS1,45.45275653153658,2020/01/02 02:00:00,2020/01/02 02:00:00,TAS1,70.44
4,VIC1,40.779480915516615,2020/01/02 02:00:00,2020/01/02 02:00:00,VIC1,41.94613
